CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.57,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.58,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.59,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.6,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.60,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.61,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.62,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.63,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.64,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.65,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.66,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.7,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.8,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.9,,
CC BY-NC 3.0,Creative Commons Attribution-Noncommercial,,
CC BY-NC 3.0,http://creativecommons.org/licenses/by-nc/3.0/,,
CC BY-NC 4.0,Creative Commons Attribution-Noncommercial,,
CC BY-NC 4.0,http://creativecommons.org/licenses/by-nc/4.0/,,
CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,,
CC BY-NC-ND 4.0,Attribution-NonCommercial-NoDerivs License,,
CC BY-NC-ND 4.0,http://creativecommons.org/licenses/by-nc-nd/4.0/,,
CC BY-NC-SA 3.0 AU,CC-BY-SA-NC 3.0 Australia,,
CC BY-NC-SA 3.0 AU,http://creativecommons.org/licenses/by-nc-sa/3.0/au/,,
CC BY-NC-SA 3.0,Attribution-NonCommercial-ShareAlike License,,
CC BY-NC-SA 3.0,CC-BY-NC-SA 3.0,,
CC BY-NC-SA 3.0,Creative Commons Attribution-Noncommercial-Share Alike,,
CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
CC BY-NC-SA 4.0,This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 License (https://creativecommons.org/licenses/by-nc-sa/4.0/).,,
CC BY-ND 4.0,Attribution-NoDerivs License,,
CC BY-ND 4.0,http://creativecommons.org/licenses/by-nd/4.0/,,
CC BY-SA 4.0,Attribution-ShareAlike License,,
CC BY-SA 4.0,Creative Commons Attribution-Share Alike,,
CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/,,
PUBLIC-DOMAIN,http://creativecommons.org/publicdomain/zero/1.0/,,
PUBLIC-DOMAIN,Public Domain Mark,,
